8 EIXOS DE TECNOLOGIA E ECONOMIA CRIATIVA																
DIRETORIA DE EDUCAÇÃO PROFISSIONAL - DEP 																
COORDENAÇÃO PEDAGÓGICA - CPED																
PORTFÓLIO 2026																
PORTFÓLIO  DE CURSOS SENAC DF: TI 																
Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. DN	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Valores	Observações / Orientações	UNIDADE QUE PODE SER RODADO	Compatível com bolsa	Comercial*	PCN	PCR
Tecnologia e Games	Presencial 	Games 2D - Jogos para dispositivos móveis	40h	134439	134694	2025	APERFEIÇOAMENTO	2025	2025.000000088-71	2025 | R$ 350	OK		Sim			
Tecnologia e Games	Presencial 	Inteligência Artificial conceitos e práticas	20h	134421	135201	2024	APERFEIÇOAMENTO	2025	2025.000001176-54	2025 | R$ 190	OK		Sim			
Tecnologia e Games	Presencial 	Inteligência Artificial Descomplicada	20h	3109.16	Não informado	2024	APERFEIÇOAMENTO	2025	2025.000001174-92	2025 | R$ 150,00 	OK		Sim			
Tecnologia e Games	Presencial 	Jogos com Unreal Engine	48h	134702	135115	2025	APERFEIÇOAMENTO	2025	2025.000000086-18	2025 | R$ 550	OK		Sim			
Tecnologia e Games	Presencial 	Linguagem de Programação Ruby	36h	33361	134763	2025	APERFEIÇOAMENTO	2025	2025.000000077-19	2025 | R$420	OK		Sim			
Tecnologia e Games	Presencial 	Minecraft lógica de programação	40h	2612.1	Não informado	2020	APERFEIÇOAMENTO	2025	2025.000000081-03	2025 | R$ 400	OK		Sim			
Tecnologia e Games	Presencial 	No-Code Games	40h	2613.24	Não informado	2025	APERFEIÇOAMENTO	2025	2025.000000080-14	2025 | R$ 299	OK		Sim			
Tecnologia e Games	Presencial 	Office 365 com Inteligência Artificial	60h	Não informado	Não informado	2019	APERFEIÇOAMENTO	2025	2024.000004483-33	2025 | R$ 450	OK		Sim			
Tecnologia e Games	Presencial 	Photoshop para Mídias Sociais	36h	134760	134762	2025	APERFEIÇOAMENTO	2025	2025.000000078-08	2025 | R$ 299	OK		Sim			
Tecnologia e Games	Presencial 	Python I - Fundamentos	36h	851.59	Não informado	2025	APERFEIÇOAMENTO	2025	2025.000000082-86	2025 | R$ 280	OK		Sim			
Tecnologia e Games	Presencial 	Python II – desenvolvendo aplicações web	60h	134403	134747	2025	APERFEIÇOAMENTO	2025	2025.000000090-96	2025 | R$ 430	OK		Sim			
Comunicação	Presencial 	Iluminação para vídeo (88h)	88	376.59	a cadastrar	2024	Aperfeiçoamento	2024	2024.000002339-90	2025 | R$ 513,00	Sem cadastro no SIG DR		SIM		SIM	Não
Comunicação	Presencial 	Operador de áudio (208h)	248	327	cadastrando	2024	Qualificação Profissional	2025	2024.000002811-11	2025 | R$ 1.368,00	Sem cadastro no SIG DR		SIM		SIM	Não
Comunicação	Presencial 	Práticas de DJ (48h)	48	853.2	cadastrando	2021	Programa Socioprofissional	2024	2024.000002116-78	2024 | R$ 409,99	Sem cadastro no SIG DR		SIM		SIM	Não
Comércio	Presencial 	Produção de Imagens para Meios Digitais	42	2333	66341	2018	Aperfeiçoamento	2023	2023.000001703-87	2023 | R$ 333,00	ok		SIM		SIM	Não
Comunicação	Presencial 	Produção de podcast em vídeo (40h)	40 (64)	376.116	a cadastrar	2024	Aperfeiçoamento	2024	2024.000003026-31	2025 | R$ 429,00	ok. validar a carga horária correta		SIM		SIM	Não
Artes 	Presencial 	Produção de Vídeo para Internet	36 (48)	853.16	a cadastrar	2024	Programa Socioprofissional	2024	2024.000003025-50	2025 | R$ 677,00	Sem cadastro no SIG DR e validar a carga horária correta. 		SIM		SIM	Não
Eventos	Presencial 	Produção e Coordenação de  Projetos de Cenografia para eventos	36	2072.67	Abertura de chamado do DN problema de cadastro no SIG	2023	Aperfeiçoamento	2025	2024.000002834-07	2024 | R$ 198,00	"Verificar sobre o cadastro no SIG do Plano de Curso./
Precificação antiga"		SIM		SIM	Não
Eventos	Presencial 	Projetos de Cenografia para Shows- produção de Cenários Lúdicos	48	2072.72	Abertura de chamado do DN problema de cadastro no SIG	2024	Aperfeiçoamento	2025	2024.000002837-41	2024 | R$ 249,00	Verificar sobre o cadastro no SIG do Plano de Curso. 		SIM		SIM	Não
Comunicação	Presencial 	Storytelling para Marcas e Produtos	42	388.45	137373	2024	Aperfeiçoamento	2024	2024.000001095-55	2024 | R$ 299,00	OK		SIM		SIM	Não
Design	Presencial 	Técnico em Design de Interiores (NOVO ENSINO MÉDIO)	1200	2767	122143 / 13738	2021	Habilitação Técnica	2024	2024.000004708-51	2025 | R$ 6.865,00	ok.		SIM		SIM	Não
Eventos	Presencial 	Técnico em Eventos (NOVO ENSINO MÉDIO)	800	2122	122073 / 96015	2016	Habilitação Técnica	2023	2023.000000305-34	2025 | R$ 5.235,00	ok.		SIM		SIM	Não
Comunicação	Presencial 	Técnico em multimídia (800h)	800	351	127943	2018	Habilitação Técnica	2025	2024.000003152-95	2025 | R$ 4.530,00	ok	"RESOLUÇÃO SENAC AR/DF 1640/2025
CEP JESSÉ FREIRE"	SIM		SIM	Não
Artes 	Presencial 	Técnico em processos fotográficos (800h)	800	1919	128565	2017	Habilitação Técnica	2025	2024.000003149-90	2025 | R$ 4.349,00	ok		SIM		SIM	Não
Artes 	Presencial 	Técnico em Produção Cultural 	800	3175	128358	2024	Habilitação Técnica	2024	2024.000003421-87	2025 |R$ 4.449,00	ok		SIM		SIM	Não
Comunicação	Presencial 	Técnico em Produção de áudio e vídeo (1200h)	1200	2946	128434	2024	Habilitação Técnica	2025	2024.000003150-23	2025 | R$ 6.720,00	ok	"RESOLUÇÃO SENAC AR/DF 1639/2025
CEP JESSÉ FREIRE"	SIM		SIM	Não
