N°	SEI	SIG	Títulos Retificativos PCA 2025 - CPED	CH	Precificação	Valor 1º Módulo	N° Parcelas - Boleto	Valor Parcela - Boleto	N° Parcelas - Cartão	Valor - Cartão	Parcela com 15%	Parcelas 20%		
105	2024.000003150-23	128434	Técnico em Produção de Áudio e Vídeo	1200	R$ 6.720,00	 R$ 1.993,60 	-	-	-	-	-	-		
106	2023.000001329-65	122067	Técnico em Programação de Jogos Digitais 	1000	R$ 5.215,00	  R$ 2.756,09 	-	-	-	-	-	-		
107	2024.000003151-12	128704	Técnico em Publicidade 	900	R$ 5.875,00	  R$ 1.512,64 	-	-	-	-	-	-		
108	2023.000001167-65	121896	Técnico em Recursos Humanos	800	R$ 4.279,99	 R$ 2.136,00 	-	-	-	-	-	-		
109	2023.000001174-94	122361	Técnico em Secretariado 	800	R$ 3.945,99	  R$ 1.705,78 	-	-	-	-	-	-		
110	2024.000005092-27	123066	Técnico em Transações Imobiliárias	800	R$ 4.090,00	 R$ 2.044,00 	-	-	-	-	-	-		
111	2024.000005157-15	122193	Técnico em Segurança Cibernética 	1000	R$ 5.536,00	 R$ 1.703,24 	-	-	-	-	-	-		
112	2023.000001631-78	121950	Técnico em Segurança Do Trabalho	1200	R$ 5.366,00	 R$ 1.484,04 	-	-	-	-	-	-		
113	2025.000000018-69	124459	Tratamento Capilar - 40 	40	R$ 998,76	 - 	1	R$ 998,76	12	R$ 83,23	-	R$ 66,58		
114			Vendedor de Produtos e Serviços Ópticos 	240	R$ 1.269,00	 - 	4	R$ 317,25	12	R$ 105,75	-	R$ 84,60		
115	2024.000005164-36	122097	Técnico em Informática para Internet 	1000	R$ 5.226,00	 R$ 1.378,08 	-	-	-	-	-	-		
Açogueiro 					R$ 234.703,04			kj			-			
														
			 											
