SEGMENTO	 	TIPO	NÚMERO SEI	CÓDIGO SIG	MÊS DE ENTREGA	STATUS	ORIGEM	OBSERVAÇÃO	STATUS	
Ambiente e Saúde	Especialização Técnica de Enfermagem em Saúde Mental	ESPECIALIZAÇÃO TÉCNICA	2025.000000644-37	127922	Março	PUBLICADO	Plano de Metas	Resolução 1643/2025 publicada 16/05/2025	X	
Ambiente e Saúde	Especialização Técnica em atendimento Podológico ao paciente com Diabetes	ESPECIALIZAÇÃO TÉCNICA	2025.000000553-65	30431	Março	PUBLICADO	Plano de Metas	A ser postado no intranet	PUBLICADO	
Segurança no trabalho	Especialização em meio ambiente para técnico em segurança do trabalho	ESPECIALIZAÇÃO TÉCNICA	2025.000000575-71	-	Março	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	Já precificado/Retificativo Plano de metas	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Tecnologia e Games	Excel - criando planilhas interativas e dashboard	APERFEIÇOAMENTO	2025.000000065-85		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		PUBLICADO	
Tecnologia e Games	Excel - iniciação em macros	APERFEIÇOAMENTO	2025.000000060-71		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		PUBLICADO	
Tecnologia e Games	Excel com Business Intelligence	APERFEIÇOAMENTO	2025.000000083-67		Maio	PUBLICADO	Plano de Metas		PUBLICADO	
Turismo	Excelência no Atendimento em Serviços de Hospitalidade (24h) 	APERFEIÇOAMENTO	2025.000000837-33		Março	PUBLICADO	Plano de Metas	entregue em março/Retificativo do plano de metas	No Blocos de assinatura Mari, DEP e DIREG.	
Gastronomia	Fermentos e Conservas	APERFEIÇOAMENTO	 2025.000000975-21		Fevereiro	X	Plano de Metas	Em Processo de Elaboração	PUBLICADO	
Turismo	Ferramentas de Marketing Digital para o Turismo (20h)	APERFEIÇOAMENTO	2025.000000938-87		Março	PUBLICADO	Plano de Metas	entregue em março//Retificativo do plano de metas	PUBLICADO	
Ambiente e Saúde	Podologia Integrativa: Fitoterapia e cosmetologia na prática para unhas e pés	APERFEIÇOAMENTO	2025.000000557-99		Março	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		PUBLICADO	
Gestão e Negócios	Formação em Departamento Pessoal	PROGRAMAS INSTRUMENTAIS	2024.000005490-16	126646	Dezembro	PUBLICADO	Plano de Metas		PUBLICADO	
Gastronomia	Fotografia de Gastronomia	APERFEIÇOAMENTO	2025.000000709-17		Março	PUBLICADO	Plano de Metas	entregue em março	PUBLICADO	
Produção Cultural e Design	Fotografia e Filmagem com Drone	APERFEIÇOAMENTO	2025.000000569-22		Março	PUBLICADO	comercial	entregue em março/Retificativo do plano de metas. Cobrei o setor de compras	PUBLICADO	
Segurança no trabalho	Frentista 	QUALIFICAÇÃO	2024.000005109-18		Março	PUBLICADO	Plano de Metas	Finalizado	PUBLICADO	
Tecnologia e Games	Games 2D - criando seu primeiro jogo	APERFEIÇOAMENTO	2025.000000087-91	 	Maio	PUBLICADO	Plano de Metas		PUBLICADO	
Gastronomia	Gastronomia Molecular	APERFEIÇOAMENTO	2025.000000464-55		Janeiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		NC - para precificação.	
Beleza e Cuidado Pessoal	Gerenciamento de salões de beleza 	APERFEIÇOAMENTO	2025.000000471-84		Fevereiro	PUBLICADO	Plano de Metas	Previsto Maio, entregue Fevereiro	CPED - devolver processo para NC para correção de nome do curso na Precificação. 	
Ambiente e Saúde	Habilitação em Sutura Simples para Enfermeiros	APERFEIÇOAMENTO	2025.000000778-49		Março	PUBLICADO	Plano de Metas		PUBLICADO NO INTRANET/ESTÁ COMO RASCUNHO NO SIG	
Turismo	Inglês e espanhol para Camareiras, Garçons e Recepcionistas (108h) 	APERFEIÇOAMENTO	2025.000000839-03		Março	PUBLICADO	Plano de Metas	entregue em 01/04 (abril)/Retificativo do plano de metas	PUBLICADO	
Tecnologia e Games	Inteligência Artificial - Como Fazer a Pergunta Correta	APERFEIÇOAMENTO	2025.000001173-10	128520	-	PUBLICADO	 Retificativo Plano de metas		Falta ajuste de descrição de carga horária no Plano de Curso e depois assinaturas. 	
Gestão e Negócios	Inteligência emocional para Administração de Conflitos	PROGRAMAS SOCIOCULTURAIS	2025.000000420-34	124737	Fevereiro	PUBLICADO	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Tecnologia e Games	Jogos com Unreal Engine	APERFEIÇOAMENTO	2025.000000086-18		Maio	PUBLICADO	Plano de Metas		 CPED - Ajuste de lista básica	
Gastronomia	Latte Art	APERFEIÇOAMENTO	2025.000000973-60		Fevereiro	PUBLICADO	Plano de Metas	Retificativo plano de metas	PUBLICADO	
Tecnologia e Games	Linguagem de Programação Ruby	APERFEIÇOAMENTO	2025.000000077-19		Maio	PUBLICADO	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Beleza e Cuidado Pessoal	Maquiagem Artística	APERFEIÇOAMENTO	2025.000000416-58		Abril	CPED - Ajuste lista básica	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Beleza e Cuidado Pessoal	Maquiagem para pele negra	APERFEIÇOAMENTO	2025.000000400-91		Abril	NC - com lista ajustada	Plano de Metas		CPED (PRECIFICADO)/ NÃO ESTÁ NO SIG	
Beleza e Cuidado Pessoal	Maquiagem Social	APERFEIÇOAMENTO	2025.000001195-17			PUBLICADO NO INTRANET/ESTÁ COMO RASCUNHO NO SIG	Comercial	Demanda BRB	X	
