DIRETORIA DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA - DEP 																		
COORDENAÇÃO PEDAGÓGICA - CPED																		
PORTFÓLIO 2025																		
PORTFÓLIO  DE CURSOS SENAC DF: GASTRONOMIA																		
"Status SIG
(Ativo ou Inativo)"	Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. DN	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Valores 	Observações de Conferência	UNIDADE QUE PODE SER RODADO	Compatível com bolsa	Comercial*	PCN	PCR	
ATIVO	GASTRONOMIA	FIC	Técnicas de Produção de Biscoitos Finos e Artesanais 	40	2079.71	66562	2023	APERFEIÇOAMENTO/ATUALIZAÇÃO	2024	2023.000001193-57	2025 |R$ 599,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Técnicas de Produção de Pães Caseiros e Artesanais	40	2079.59	66418	2023	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2023.000000531-51	2025 |R$ 515,00	OK		SIM	SIM			
INATIVO 	GASTRONOMIA	HABILITAÇÃO 	Técnico em Nutrição e Dietética - Novo ensino Médio 	1200	3028	137233	2023	HABILITAÇÃO PROFISSIONAL TÉCNICA DE NIVEL MÉDIO 	2025	2023.000001660-11	2025 | R$ 6.755,00		"RESOLUÇÃO SENAC AR/DF 1625/2025
CEP SOBRADINHO"	SIM	SIM			
INATIVO 	GASTRONOMIA	HABILITAÇÃO 	Técnico em Nutrição e Dietética - Comercial 	1200	3028	124115	2023	HABILITAÇÃO PROFISSIONAL TÉCNICA DE NIVEL MÉDIO 	2025	2023.000001146-31	2025 | R$ 5.880,00	FALTA ASSINATURA DA DIRETORIA NO PLANO DE CURSO	"RESOLUÇÃO SENAC AR/DF 1544/2024
CEP ANTONIO MATIAS, TALAL ABU-ALLAN"	SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Técnicas para Garçom	36	2083.13	116234	2024	APERFEIÇOAMENTO/ATUALIZAÇÃO	2024	2024.000002320-80	PRECIFICAÇÃO ANTIGA	PRECIFICADO PELA NC EM 05/2024		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Técnicas para Pizzaiolo	40	2079.10	66498	2023	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2023.000000284-75	2025 |R$ 549,00	OK		SIM	SIM			
ATIVO 	GASTRONOMIA	HABILITAÇÃO 	Técnico em Gastronomia 	800	2686	136965	2023	HABILITAÇÃO PROFISSIONAL TÉCNICA DE NIVEL MÉDIO 	2025	2023.000001906-55	2025 |R$ 7.600,00	OK	"RESOLUÇÃO SENAC AR/DF 1646/2025
TODOS OS CEPS E POLOS"	SIM	SIM			
ATIVO 	GASTRONOMIA	HABILITAÇÃO 	Técnico em Gastronomia TEM	800	2686	128584	2023	HABILITAÇÃO PROFISSIONAL TÉCNICA DE NIVEL MÉDIO 	2024	2023.000001912-01	2025 |R$ 7.615,00	OK	"RESOLUÇÃO SENAC AR/DF 1537/2024
CEP JOAQUIM LOIOLA"	SIM	SIM			
ATIVO 	GASTRONOMIA	FIC	Sustentabilidade aplicada à cozinha	20	2313.34	66240	2024	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2024.000005018-38	2025 |R$299,00	OK		SIM	SIM			
ATIVO 	GASTRONOMIA 	AÇÃO EXTENSIVA 	Boas Práticas na Manipulação de Alimentos 	5	2084.2	66375	2025	OFICINA 	2025	2025.000003164-28	2026 | R$ 108,10	FALTA ASSINATURA DA DIRETORIA NO PLANO DE CURSO		NÃO 	SIM			
ATIVO 	GASTRONOMIA 	FIC	Vera Pizza Napoletana - Curso Básico	40	2080.40	138656	2025	APERFEIÇOAMENTO	2025	2025.000003186-33	2026 | R$ 2.500 / R$ 5.000	FALTA ASSINATURA DA DIRETORIA NO PLANO DE CURSO						
